value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
4,1,0.007873973042228331,pos_neg_null,trav,1,1,10
4,4,0.000009921656416916362,pos_neg_null,trav,1,1,10
4,3,0.015630717429875072,pos_neg_null,trav,1,1,10
4,2,0.010491897157982662,pos_neg_null,trav,1,1,10
3,3,3.101052849883251e-8,pos_neg_null,trav,1,1,10
3,2,0.010215006862087294,pos_neg_null,trav,1,1,10
3,1,0.007666172041827149,pos_neg_null,trav,1,1,10
5,5,0.000960658327591953,pos_neg_null,trav,1,1,10
5,4,0.023465314652711153,pos_neg_null,trav,1,1,10
5,3,0.015151315968045776,pos_neg_null,trav,1,1,10
5,2,0.010170105733023143,pos_neg_null,trav,1,1,10
5,1,0.007632474582302631,pos_neg_null,trav,1,1,10
6,6,0.01637350433632062,pos_neg_null,trav,1,1,10
6,5,0.024008452005226503,pos_neg_null,trav,1,1,10
6,4,0.020599058411099675,pos_neg_null,trav,1,1,10
6,3,0.01330060334796075,pos_neg_null,trav,1,1,10
6,2,0.008927841162249192,pos_neg_null,trav,1,1,10
6,1,0.006700178202124391,pos_neg_null,trav,1,1,10
7,7,0.021917302288672006,pos_neg_null,trav,1,1,10
7,6,0.022106671493024765,pos_neg_null,trav,1,1,10
7,5,0.0214123997766647,pos_neg_null,trav,1,1,10
7,4,0.018371666512497956,pos_neg_null,trav,1,1,10
7,3,0.011862398962472962,pos_neg_null,trav,1,1,10
7,2,0.007962466887370581,pos_neg_null,trav,1,1,10
7,1,0.005975682822347323,pos_neg_null,trav,1,1,10
8,8,0.01891164024940529,pos_neg_null,trav,1,1,10
8,7,0.01890871810272026,pos_neg_null,trav,1,1,10
8,6,0.018823913884098126,pos_neg_null,trav,1,1,10
8,5,0.018232738907573483,pos_neg_null,trav,1,1,10
8,4,0.015643543101807444,pos_neg_null,trav,1,1,10
8,3,0.010100877312030533,pos_neg_null,trav,1,1,10
8,2,0.006780070488682081,pos_neg_null,trav,1,1,10
8,1,0.005088316388201753,pos_neg_null,trav,1,1,10
9,9,0.016288325982149795,pos_neg_null,trav,1,1,10
9,8,0.016287720570426538,pos_neg_null,trav,1,1,10
9,7,0.016279028830156514,pos_neg_null,trav,1,1,10
9,6,0.016206018575713615,pos_neg_null,trav,1,1,10
9,5,0.015697059986652665,pos_neg_null,trav,1,1,10
9,4,0.013467951014801109,pos_neg_null,trav,1,1,10
9,3,0.00869611954015872,pos_neg_null,trav,1,1,10
9,2,0.005837146778335566,pos_neg_null,trav,1,1,10
9,1,0.004380669738186939,pos_neg_null,trav,1,1,10
2,2,4.9276644143030895e-12,pos_neg_null,trav,1,1,10
2,1,0.0042908098461215734,pos_neg_null,trav,1,1,10
10,1,0.002931678978632798,pos_neg_null,trav,1,1,10
10,6,0.010845566277592988,pos_neg_null,trav,1,1,10
10,2,0.003906398228578435,pos_neg_null,trav,1,1,10
10,10,0.010900803480564776,pos_neg_null,trav,1,1,10
10,9,0.010900769221380736,pos_neg_null,trav,1,1,10
10,8,0.010900243766362408,pos_neg_null,trav,1,1,10
10,7,0.010894426986335543,pos_neg_null,trav,1,1,10
10,5,0.01050495552952913,pos_neg_null,trav,1,1,10
