value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
5,1,0.0065360904550525655,pos_neg_null,book,1,1,10
5,5,0.00020037100445525016,pos_neg_null,book,1,1,10
5,4,0.019341194723155358,pos_neg_null,book,1,1,10
5,3,0.013868684889643995,pos_neg_null,book,1,1,10
5,2,0.009118159614582823,pos_neg_null,book,1,1,10
4,3,0.012236281318003051,pos_neg_null,book,1,1,10
4,2,0.008044913200804119,pos_neg_null,book,1,1,10
4,1,0.005766764633008451,pos_neg_null,book,1,1,10
4,4,0.0000019594310521508276,pos_neg_null,book,1,1,10
6,6,0.0062817924692004515,pos_neg_null,book,1,1,10
6,5,0.019867711355652334,pos_neg_null,book,1,1,10
6,4,0.01683888061986776,pos_neg_null,book,1,1,10
6,3,0.012074390054699798,pos_neg_null,book,1,1,10
6,2,0.007938475539933485,pos_neg_null,book,1,1,10
6,1,0.005690467857268525,pos_neg_null,book,1,1,10
7,7,0.01879719685089491,pos_neg_null,book,1,1,10
7,6,0.01986321444522403,pos_neg_null,book,1,1,10
7,5,0.018846577587652357,pos_neg_null,book,1,1,10
7,4,0.01597341859918185,pos_neg_null,book,1,1,10
7,3,0.011453806878704068,pos_neg_null,book,1,1,10
7,2,0.007530464506596137,pos_neg_null,book,1,1,10
7,1,0.005397996883598869,pos_neg_null,book,1,1,10
3,3,1.1580509338908608e-8,pos_neg_null,book,1,1,10
3,2,0.007122453473258764,pos_neg_null,book,1,1,10
3,1,0.005105525909929194,pos_neg_null,book,1,1,10
2,2,1.627562943278144e-11,pos_neg_null,book,1,1,10
2,1,0.0041391000838902885,pos_neg_null,book,1,1,10
15,14,0.014184645736545093,pos_neg_null,book,1,1,10
15,13,0.014184645674789142,pos_neg_null,book,1,1,10
15,12,0.014184644880904073,pos_neg_null,book,1,1,10
15,11,0.014184638389177315,pos_neg_null,book,1,1,10
15,10,0.014184590665133149,pos_neg_null,book,1,1,10
15,9,0.014184289815967149,pos_neg_null,book,1,1,10
15,8,0.014182305164342466,pos_neg_null,book,1,1,10
15,7,0.014162800229304493,pos_neg_null,book,1,1,10
15,6,0.014037607381783772,pos_neg_null,book,1,1,10
15,5,0.013319136104347973,pos_neg_null,book,1,1,10
15,4,0.01128863505242535,pos_neg_null,book,1,1,10
15,3,0.008094563165161888,pos_neg_null,book,1,1,10
15,2,0.005321883043530842,pos_neg_null,book,1,1,10
15,1,0.003814838786995669,pos_neg_null,book,1,1,10
15,15,0.014184645740090146,pos_neg_null,book,1,1,10
8,8,0.013720902235508245,pos_neg_null,book,1,1,10
8,7,0.013737916222425315,pos_neg_null,book,1,1,10
8,6,0.013616479160330229,pos_neg_null,book,1,1,10
8,5,0.012919562021217494,pos_neg_null,book,1,1,10
8,4,0.010949976000852556,pos_neg_null,book,1,1,10
8,3,0.007851726270207008,pos_neg_null,book,1,1,10
8,2,0.0051622265522248915,pos_neg_null,book,1,1,10
8,1,0.0037003936233857906,pos_neg_null,book,1,1,10
9,1,0.0030391549003065455,pos_neg_null,book,1,1,10
9,6,0.011183293880821057,pos_neg_null,book,1,1,10
9,2,0.004239766824679565,pos_neg_null,book,1,1,10
9,9,0.011298024086216829,pos_neg_null,book,1,1,10
9,8,0.01129856978092615,pos_neg_null,book,1,1,10
9,7,0.011283030849345888,pos_neg_null,book,1,1,10
9,5,0.010610911763130539,pos_neg_null,book,1,1,10
9,4,0.008993279258432177,pos_neg_null,book,1,1,10
9,3,0.0064486686549122966,pos_neg_null,book,1,1,10
1,1,6.321689068274167e-16,pos_neg_null,book,1,1,10
10,6,0.0099433052287635,pos_neg_null,book,1,1,10
10,10,0.010047261286845093,pos_neg_null,book,1,1,10
10,9,0.010047205286310059,pos_neg_null,book,1,1,10
