value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
3,1,0.0077252878728120275,pos_neg_null,mov,1,1,10
3,3,0.0000030115972898678982,pos_neg_null,mov,1,1,10
3,2,0.013871167422216987,pos_neg_null,mov,1,1,10
4,3,0.019034260737407473,pos_neg_null,mov,1,1,10
4,2,0.012109564158335763,pos_neg_null,mov,1,1,10
4,1,0.006744195804860284,pos_neg_null,mov,1,1,10
4,4,0.00030054796361459916,pos_neg_null,mov,1,1,10
2,2,4.267832077494067e-9,pos_neg_null,mov,1,1,10
2,1,0.006224411927799755,pos_neg_null,mov,1,1,10
5,5,0.006492198233771876,pos_neg_null,mov,1,1,10
5,4,0.018819300667573976,pos_neg_null,mov,1,1,10
5,3,0.015073374109970058,pos_neg_null,mov,1,1,10
5,2,0.00958965485371096,pos_neg_null,mov,1,1,10
5,1,0.005340779336796871,pos_neg_null,mov,1,1,10
1,1,6.119643693412868e-13,pos_neg_null,mov,1,1,10
6,6,0.016341602212389717,pos_neg_null,mov,1,1,10
6,5,0.017647985941734275,pos_neg_null,mov,1,1,10
6,4,0.016873265927009773,pos_neg_null,mov,1,1,10
6,3,0.013514691872321112,pos_neg_null,mov,1,1,10
6,2,0.008598023877354003,pos_neg_null,mov,1,1,10
6,1,0.004788508967420066,pos_neg_null,mov,1,1,10
7,7,0.013647507339721468,pos_neg_null,mov,1,1,10
7,6,0.013700508853173605,pos_neg_null,mov,1,1,10
7,5,0.013601161485624265,pos_neg_null,mov,1,1,10
7,4,0.01300409097224093,pos_neg_null,mov,1,1,10
7,3,0.010415664835113154,pos_neg_null,mov,1,1,10
7,2,0.006626428171420734,pos_neg_null,mov,1,1,10
7,1,0.003690465527129717,pos_neg_null,mov,1,1,10
8,8,0.011807907941183521,pos_neg_null,mov,1,1,10
8,7,0.011810711393801892,pos_neg_null,mov,1,1,10
8,6,0.011794980333101925,pos_neg_null,mov,1,1,10
8,5,0.011709450645194129,pos_neg_null,mov,1,1,10
8,4,0.01119542338983418,pos_neg_null,mov,1,1,10
8,3,0.008967007226004116,pos_neg_null,mov,1,1,10
8,2,0.00570479467574778,pos_neg_null,mov,1,1,10
