value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
8,1,0.009122998126654755,pos_neg_null,edu,1,1,10
8,8,0.033813861653322626,pos_neg_null,edu,1,1,10
8,7,0.03368980289397475,pos_neg_null,edu,1,1,10
8,6,0.03180400368284153,pos_neg_null,edu,1,1,10
8,5,0.027821109150168194,pos_neg_null,edu,1,1,10
8,4,0.022556646255994624,pos_neg_null,edu,1,1,10
8,3,0.01730083898278848,pos_neg_null,edu,1,1,10
8,2,0.012703856169670798,pos_neg_null,edu,1,1,10
7,3,0.017223603094472486,pos_neg_null,edu,1,1,10
7,2,0.012647142526056223,pos_neg_null,edu,1,1,10
7,1,0.00908227045644647,pos_neg_null,edu,1,1,10
7,7,0.022677509796092937,pos_neg_null,edu,1,1,10
7,6,0.031662021523543096,pos_neg_null,edu,1,1,10
7,5,0.0276969077700335,pos_neg_null,edu,1,1,10
7,4,0.022455946942351812,pos_neg_null,edu,1,1,10
6,6,0.00045708683281796893,pos_neg_null,edu,1,1,10
6,5,0.02738640431969682,pos_neg_null,edu,1,1,10
6,4,0.022204198658244714,pos_neg_null,edu,1,1,10
6,3,0.017030513373682447,pos_neg_null,edu,1,1,10
6,2,0.012505358417019694,pos_neg_null,edu,1,1,10
6,1,0.008980451280925776,pos_neg_null,edu,1,1,10
9,7,0.02644549259906502,pos_neg_null,edu,1,1,10
9,6,0.024965196343301937,pos_neg_null,edu,1,1,10
9,5,0.021838742673681136,pos_neg_null,edu,1,1,10
9,4,0.017706295982198198,pos_neg_null,edu,1,1,10
9,3,0.01358064369556689,pos_neg_null,edu,1,1,10
9,2,0.009972149002234173,pos_neg_null,edu,1,1,10
9,1,0.007161282011622595,pos_neg_null,edu,1,1,10
9,9,0.026627282916134292,pos_neg_null,edu,1,1,10
9,8,0.026618333258413833,pos_neg_null,edu,1,1,10
5,5,0.000002108496519658385,pos_neg_null,edu,1,1,10
5,4,0.01384615562588959,pos_neg_null,edu,1,1,10
5,3,0.010619934643452796,pos_neg_null,edu,1,1,10
5,2,0.007798125997007769,pos_neg_null,edu,1,1,10
5,1,0.0056000546536385245,pos_neg_null,edu,1,1,10
4,4,2.5853372680988082e-8,pos_neg_null,edu,1,1,10
4,3,0.00819987680955079,pos_neg_null,edu,1,1,10
4,2,0.006021098497083543,pos_neg_null,edu,1,1,10
4,1,0.0043239209871124085,pos_neg_null,edu,1,1,10
10,10,0.014260312767804484,pos_neg_null,edu,1,1,10
10,9,0.014260244444405974,pos_neg_null,edu,1,1,10
10,8,0.014255315915643428,pos_neg_null,edu,1,1,10
10,7,0.014162751960636719,pos_neg_null,edu,1,1,10
10,6,0.013369986667265974,pos_neg_null,edu,1,1,10
10,5,0.011695629962682327,pos_neg_null,edu,1,1,10
10,4,0.009482518701366807,pos_neg_null,edu,1,1,10
10,3,0.007273046149758579,pos_neg_null,edu,1,1,10
10,2,0.005340534773708349,pos_neg_null,edu,1,1,10
10,1,0.003835188944613049,pos_neg_null,edu,1,1,10
3,3,3.06233241498402e-10,pos_neg_null,edu,1,1,10
3,2,0.005028609733828033,pos_neg_null,edu,1,1,10
3,1,0.003611186758467504,pos_neg_null,edu,1,1,10
2,1,0.003285365396801261,pos_neg_null,edu,1,1,10
2,2,1.7589275547195584e-12,pos_neg_null,edu,1,1,10
1,1,6.679912129438818e-16,pos_neg_null,edu,1,1,10
11,6,0.007075444271703567,pos_neg_null,edu,1,1,10
11,9,0.007546571838721018,pos_neg_null,edu,1,1,10
11,5,0.006189368776711516,pos_neg_null,edu,1,1,10
11,4,0.005018182463201183,pos_neg_null,edu,1,1,10
11,3,0.0038489217677483353,pos_neg_null,edu,1,1,10
11,11,0.007546608307875127,pos_neg_null,edu,1,1,10
11,1,0.0020295955653792897,pos_neg_null,edu,1,1,10
11,2,0.0028262299067943275,pos_neg_null,edu,1,1,10
11,10,0.007546608152254293,pos_neg_null,edu,1,1,10
11,8,0.007543963643853759,pos_neg_null,edu,1,1,10
11,7,0.0074949784712041905,pos_neg_null,edu,1,1,10
12,12,0.004845982593609471,pos_neg_null,edu,1,1,10
12,8,0.004844284346554933,pos_neg_null,edu,1,1,10
12,9,0.004845959174028223,pos_neg_null,edu,1,1,10
12,10,0.004845982492417483,pos_neg_null,edu,1,1,10
12,4,0.003222378036570666,pos_neg_null,edu,1,1,10
12,11,0.004845982592877546,pos_neg_null,edu,1,1,10
12,1,0.0013032854466649647,pos_neg_null,edu,1,1,10
12,7,0.004812828984853538,pos_neg_null,edu,1,1,10
12,5,0.003974444164309744,pos_neg_null,edu,1,1,10
12,3,0.0024715484261126465,pos_neg_null,edu,1,1,10
12,6,0.004543429097548789,pos_neg_null,edu,1,1,10
12,2,0.0018148365956672644,pos_neg_null,edu,1,1,10
13,4,0.002349650651666114,pos_neg_null,edu,1,1,10
13,12,0.0035335289745121955,pos_neg_null,edu,1,1,10
13,1,0.0009503123048598714,pos_neg_null,edu,1,1,10
13,13,0.003533528974521212,pos_neg_null,edu,1,1,10
13,10,0.0035335289007210864,pos_neg_null,edu,1,1,10
13,11,0.0035335289739732156,pos_neg_null,edu,1,1,10
13,8,0.0035322906693629765,pos_neg_null,edu,1,1,10
13,9,0.0035335118977289173,pos_neg_null,edu,1,1,10
13,5,0.0028980322031425263,pos_neg_null,edu,1,1,10
13,2,0.0013233183510073764,pos_neg_null,edu,1,1,10
13,3,0.0018021707273738088,pos_neg_null,edu,1,1,10
13,7,0.003509354468122376,pos_neg_null,edu,1,1,10
13,6,0.0033129170502959964,pos_neg_null,edu,1,1,10
14,14,0.0035082894818463293,pos_neg_null,edu,1,1,10
14,12,0.0035082894818371027,pos_neg_null,edu,1,1,10
14,2,0.001313866077071613,pos_neg_null,edu,1,1,10
14,1,0.0009435243598251566,pos_neg_null,edu,1,1,10
14,5,0.0028773319731200723,pos_neg_null,edu,1,1,10
14,6,0.0032892533570795914,pos_neg_null,edu,1,1,10
14,9,0.003508272527030848,pos_neg_null,edu,1,1,10
14,10,0.003508289408573073,pos_neg_null,edu,1,1,10
14,11,0.0035082894813019726,pos_neg_null,edu,1,1,10
14,3,0.0017892980793211344,pos_neg_null,edu,1,1,10
14,8,0.003507060021724664,pos_neg_null,edu,1,1,10
14,4,0.002332867432725638,pos_neg_null,edu,1,1,10
14,7,0.003484287650492925,pos_neg_null,edu,1,1,10
14,13,0.0035082894818461454,pos_neg_null,edu,1,1,10
15,2,0.0011626296940993367,pos_neg_null,edu,1,1,10
15,13,0.0031044575990437136,pos_neg_null,edu,1,1,10
15,7,0.003083218568421799,pos_neg_null,edu,1,1,10
15,1,0.0008349172392697435,pos_neg_null,edu,1,1,10
15,14,0.0031044575990438763,pos_neg_null,edu,1,1,10
15,11,0.0031044575985621796,pos_neg_null,edu,1,1,10
15,4,0.002064335929678084,pos_neg_null,edu,1,1,10
15,15,0.0031044575990438793,pos_neg_null,edu,1,1,10
15,9,0.003104442595861832,pos_neg_null,edu,1,1,10
15,3,0.001583335710478415,pos_neg_null,edu,1,1,10
15,5,0.002546128292760927,pos_neg_null,edu,1,1,10
15,8,0.0031033696595117555,pos_neg_null,edu,1,1,10
15,12,0.003104457599035712,pos_neg_null,edu,1,1,10
15,6,0.0029106342656171945,pos_neg_null,edu,1,1,10
15,10,0.0031044575342049517,pos_neg_null,edu,1,1,10
