value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
7,1,0.00595552505905153,pos_neg_null,tv,1,1,10
7,7,0.018724912513058564,pos_neg_null,tv,1,1,10
7,6,0.02182945360706234,pos_neg_null,tv,1,1,10
7,5,0.020826549445641357,pos_neg_null,tv,1,1,10
7,4,0.01808785174609866,pos_neg_null,tv,1,1,10
7,3,0.013507231596333949,pos_neg_null,tv,1,1,10
7,2,0.009305854956496051,pos_neg_null,tv,1,1,10
5,3,0.012244486573534911,pos_neg_null,tv,1,1,10
5,2,0.008435882309222082,pos_neg_null,tv,1,1,10
5,1,0.005398763329393075,pos_neg_null,tv,1,1,10
5,5,0.00010902143110481948,pos_neg_null,tv,1,1,10
5,4,0.01639688016523734,pos_neg_null,tv,1,1,10
4,4,0.0000021836795629224317,pos_neg_null,tv,1,1,10
4,3,0.012016778454669535,pos_neg_null,tv,1,1,10
4,2,0.008279001995779254,pos_neg_null,tv,1,1,10
4,1,0.005298363673225158,pos_neg_null,tv,1,1,10
6,6,0.0026581071548669806,pos_neg_null,tv,1,1,10
6,5,0.017491109725994596,pos_neg_null,tv,1,1,10
6,4,0.0151910233821641,pos_neg_null,tv,1,1,10
6,3,0.01134400446711266,pos_neg_null,tv,1,1,10
6,2,0.007815491978789028,pos_neg_null,tv,1,1,10
6,1,0.005001728325456308,pos_neg_null,tv,1,1,10
3,3,2.1440599084474064e-8,pos_neg_null,tv,1,1,10
3,2,0.007694266282037741,pos_neg_null,tv,1,1,10
3,1,0.004924146772962918,pos_neg_null,tv,1,1,10
8,8,0.01691157031288633,pos_neg_null,tv,1,1,10
8,7,0.016953263715333306,pos_neg_null,tv,1,1,10
8,6,0.01676100575806627,pos_neg_null,tv,1,1,10
8,5,0.015990959804239577,pos_neg_null,tv,1,1,10
8,4,0.013888143639533229,pos_neg_null,tv,1,1,10
8,3,0.010371069777415035,pos_neg_null,tv,1,1,10
8,2,0.007145185184987775,pos_neg_null,tv,1,1,10
8,1,0.004572747976375199,pos_neg_null,tv,1,1,10
2,2,5.713671152024518e-11,pos_neg_null,tv,1,1,10
2,1,0.003956659177162974,pos_neg_null,tv,1,1,10
9,9,0.014216366082746196,pos_neg_null,tv,1,1,10
9,8,0.01421575592157323,pos_neg_null,tv,1,1,10
9,7,0.01417847803737456,pos_neg_null,tv,1,1,10
9,6,0.014017687450358828,pos_neg_null,tv,1,1,10
9,5,0.013373676962028706,pos_neg_null,tv,1,1,10
9,4,0.011615034301326193,pos_neg_null,tv,1,1,10
9,3,0.00867360925496385,pos_neg_null,tv,1,1,10
9,2,0.005975713757504746,pos_neg_null,tv,1,1,10
9,1,0.0038243141758507147,pos_neg_null,tv,1,1,10
1,1,2.0495192757065865e-14,pos_neg_null,tv,1,1,10
10,8,0.013130065731858823,pos_neg_null,tv,1,1,10
10,4,0.010727967242513705,pos_neg_null,tv,1,1,10
10,10,0.013133709570752678,pos_neg_null,tv,1,1,10
10,9,0.013133461359277449,pos_neg_null,tv,1,1,10
10,7,0.013095634845976043,pos_neg_null,tv,1,1,10
10,6,0.012947124208326666,pos_neg_null,tv,1,1,10
