value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
1,1,3.3453586861206733e-9,pos_neg_null,bur,1,1,10
2,2,0.000022780700150993425,pos_neg_null,bur,1,1,10
2,1,0.017302645953291163,pos_neg_null,bur,1,1,10
3,3,0.009847807857584085,pos_neg_null,bur,1,1,10
3,2,0.0448042961302051,pos_neg_null,bur,1,1,10
3,1,0.01621394014049981,pos_neg_null,bur,1,1,10
4,4,0.040189172228909345,pos_neg_null,bur,1,1,10
4,3,0.04037018970775673,pos_neg_null,bur,1,1,10
4,2,0.03083652995052483,pos_neg_null,bur,1,1,10
4,1,0.011159234581111382,pos_neg_null,bur,1,1,10
5,5,0.031644975678772246,pos_neg_null,bur,1,1,10
5,4,0.031623459899538714,pos_neg_null,bur,1,1,10
5,3,0.03080512733797464,pos_neg_null,bur,1,1,10
5,2,0.0235303137949998,pos_neg_null,bur,1,1,10
5,1,0.00851523475004667,pos_neg_null,bur,1,1,10
6,6,0.024529325603965146,pos_neg_null,bur,1,1,10
6,5,0.024528022649018624,pos_neg_null,bur,1,1,10
6,4,0.02449975812612665,pos_neg_null,bur,1,1,10
6,3,0.02386576836381902,pos_neg_null,bur,1,1,10
6,2,0.01822972560373654,pos_neg_null,bur,1,1,10
6,1,0.0065970387941761835,pos_neg_null,bur,1,1,10
7,7,0.02024056786482725,pos_neg_null,bur,1,1,10
7,6,0.02024050724529154,pos_neg_null,bur,1,1,10
7,5,0.020239232834160754,pos_neg_null,bur,1,1,10
7,4,0.020215910438061285,pos_neg_null,bur,1,1,10
7,3,0.019692775467198408,pos_neg_null,bur,1,1,10
7,2,0.015042209731963328,pos_neg_null,bur,1,1,10
7,1,0.005443529063956773,pos_neg_null,bur,1,1,10
8,7,0.01402382506105164,pos_neg_null,bur,1,1,10
8,6,0.014023780019951982,pos_neg_null,bur,1,1,10
8,5,0.014022897035097081,pos_neg_null,bur,1,1,10
8,3,0.013644280145130312,pos_neg_null,bur,1,1,10
8,2,0.010422102457146015,pos_neg_null,bur,1,1,10
8,1,0.0037715879943129053,pos_neg_null,bur,1,1,10
8,8,0.014023826997386291,pos_neg_null,bur,1,1,10
8,4,0.01400673794637101,pos_neg_null,bur,1,1,10
9,1,0.002242215543010765,pos_neg_null,bur,1,1,10
9,6,0.008337161317703411,pos_neg_null,bur,1,1,10
9,2,0.006195957818165839,pos_neg_null,bur,1,1,10
9,9,0.008337189307539107,pos_neg_null,bur,1,1,10
9,8,0.008337189276732706,pos_neg_null,bur,1,1,10
9,7,0.00833718809471455,pos_neg_null,bur,1,1,10
9,5,0.008336636381690018,pos_neg_null,bur,1,1,10
