value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
8,1,0.013950803994671331,pos_neg_null,move,1,1,10
8,8,0.0066559820030433,pos_neg_null,move,1,1,10
8,6,0.02047619857015937,pos_neg_null,move,1,1,10
8,7,0.03827996436017891,pos_neg_null,move,1,1,10
8,2,0.015154150008107811,pos_neg_null,move,1,1,10
8,4,0.0176139718959479,pos_neg_null,move,1,1,10
8,5,0.018814898054762774,pos_neg_null,move,1,1,10
8,3,0.016368153032394334,pos_neg_null,move,1,1,10
7,3,0.012899182327998046,pos_neg_null,move,1,1,10
7,2,0.011942468010504723,pos_neg_null,move,1,1,10
7,1,0.010994152119257456,pos_neg_null,move,1,1,10
7,7,0.000006934228106692813,pos_neg_null,move,1,1,10
7,6,0.016136592700351948,pos_neg_null,move,1,1,10
7,4,0.013880969621703817,pos_neg_null,move,1,1,10
7,5,0.014827378508177292,pos_neg_null,move,1,1,10
9,9,0.0400316780393316,pos_neg_null,move,1,1,10
9,8,0.03902664371304579,pos_neg_null,move,1,1,10
9,7,0.029983346570181313,pos_neg_null,move,1,1,10
9,6,0.016038284476764086,pos_neg_null,move,1,1,10
9,5,0.014737046350164007,pos_neg_null,move,1,1,10
9,4,0.013796403227141646,pos_neg_null,move,1,1,10
9,3,0.012820597231134668,pos_neg_null,move,1,1,10
9,2,0.011869711460397215,pos_neg_null,move,1,1,10
9,1,0.010927172950558764,pos_neg_null,move,1,1,10
10,7,0.02515240456587888,pos_neg_null,move,1,1,10
10,6,0.013454182599597185,pos_neg_null,move,1,1,10
10,5,0.012362601053815333,pos_neg_null,move,1,1,10
10,4,0.01157351514150763,pos_neg_null,move,1,1,10
10,3,0.01075493182786956,pos_neg_null,move,1,1,10
10,2,0.009957253571856861,pos_neg_null,move,1,1,10
10,1,0.009166577659050166,pos_neg_null,move,1,1,10
10,10,0.03408214644476482,pos_neg_null,move,1,1,10
10,9,0.03404734646068304,pos_neg_null,move,1,1,10
10,8,0.032738638071013904,pos_neg_null,move,1,1,10
6,6,2.6404111432891936e-9,pos_neg_null,move,1,1,10
6,5,0.012039986203767976,pos_neg_null,move,1,1,10
6,4,0.011271492303785609,pos_neg_null,move,1,1,10
6,2,0.009697408750044325,pos_neg_null,move,1,1,10
6,3,0.010474270767643314,pos_neg_null,move,1,1,10
6,1,0.008927366342269094,pos_neg_null,move,1,1,10
11,11,0.021595967720905503,pos_neg_null,move,1,1,10
11,10,0.021595629320610557,pos_neg_null,move,1,1,10
11,9,0.02157279676579813,pos_neg_null,move,1,1,10
11,8,0.020743583829963913,pos_neg_null,move,1,1,10
11,7,0.015936857590280278,pos_neg_null,move,1,1,10
11,6,0.008524727388262512,pos_neg_null,move,1,1,10
11,5,0.007833088559150233,pos_neg_null,move,1,1,10
11,4,0.007333114499890536,pos_neg_null,move,1,1,10
11,3,0.006814450542293137,pos_neg_null,move,1,1,10
11,2,0.006309032273608692,pos_neg_null,move,1,1,10
11,1,0.005808050771444105,pos_neg_null,move,1,1,10
12,12,0.009961897033565821,pos_neg_null,move,1,1,10
12,11,0.0099618965637559,pos_neg_null,move,1,1,10
12,10,0.009961740049046038,pos_neg_null,move,1,1,10
12,9,0.009951207733811312,pos_neg_null,move,1,1,10
12,8,0.009568704237874606,pos_neg_null,move,1,1,10
12,7,0.007351433484808013,pos_neg_null,move,1,1,10
12,6,0.003932328943514816,pos_neg_null,move,1,1,10
12,5,0.0036132863205305707,pos_neg_null,move,1,1,10
12,4,0.00338265578248656,pos_neg_null,move,1,1,10
12,3,0.0031434038745338866,pos_neg_null,move,1,1,10
12,2,0.002910262004300528,pos_neg_null,move,1,1,10
12,1,0.0026791667479478514,pos_neg_null,move,1,1,10
13,1,0.001846711365549773,pos_neg_null,move,1,1,10
13,7,0.005067238080599829,pos_neg_null,move,1,1,10
13,12,0.006866593312610518,pos_neg_null,move,1,1,10
13,13,0.006866593312931526,pos_neg_null,move,1,1,10
13,10,0.006866485105235321,pos_neg_null,move,1,1,10
13,11,0.006866592988588908,pos_neg_null,move,1,1,10
13,9,0.006859225330805669,pos_neg_null,move,1,1,10
13,8,0.006595571135392159,pos_neg_null,move,1,1,10
13,6,0.002710498164637019,pos_neg_null,move,1,1,10
13,2,0.002006002024392879,pos_neg_null,move,1,1,10
13,5,0.0024905866423657313,pos_neg_null,move,1,1,10
13,4,0.0023316163072139655,pos_neg_null,move,1,1,10
13,3,0.002166703384946588,pos_neg_null,move,1,1,10
5,5,1.4732534813931883e-15,pos_neg_null,move,1,1,10
5,4,0.0011356058698347821,pos_neg_null,move,1,1,10
5,3,0.0010552855864506697,pos_neg_null,move,1,1,10
5,2,0.0009770165300151854,pos_neg_null,move,1,1,10
5,1,0.0008994345510967813,pos_neg_null,move,1,1,10
14,2,0.0009250475656526746,pos_neg_null,move,1,1,10
14,7,0.0023367056433854084,pos_neg_null,move,1,1,10
14,1,0.0008515922877405687,pos_neg_null,move,1,1,10
14,3,0.0009991533744054166,pos_neg_null,move,1,1,10
14,11,0.0031664599791938453,pos_neg_null,move,1,1,10
14,14,0.0031664601287616223,pos_neg_null,move,1,1,10
14,13,0.0031664601287613075,pos_neg_null,move,1,1,10
14,12,0.0031664601286131395,pos_neg_null,move,1,1,10
14,10,0.003166410229875354,pos_neg_null,move,1,1,10
14,9,0.003163062458247173,pos_neg_null,move,1,1,10
14,8,0.0030414809898958654,pos_neg_null,move,1,1,10
14,6,0.0012499188427600692,pos_neg_null,move,1,1,10
14,5,0.001148508866168647,pos_neg_null,move,1,1,10
14,4,0.001075201302290372,pos_neg_null,move,1,1,10
1,1,1.1263589813389615e-22,pos_neg_null,move,1,1,10
2,2,9.650099507654342e-20,pos_neg_null,move,1,1,10
2,1,0.0007559077610281447,pos_neg_null,move,1,1,10
3,1,0.0007367708556856609,pos_neg_null,move,1,1,10
3,3,5.132084539334347e-18,pos_neg_null,move,1,1,10
3,2,0.0008003220511826471,pos_neg_null,move,1,1,10
4,2,0.0007379592939476387,pos_neg_null,move,1,1,10
4,4,7.11327459134666e-17,pos_neg_null,move,1,1,10
4,1,0.0006793601396582061,pos_neg_null,move,1,1,10
4,3,0.0007970774110425257,pos_neg_null,move,1,1,10
15,9,0.001670381298175475,pos_neg_null,move,1,1,10
15,10,0.001672149222518447,pos_neg_null,move,1,1,10
15,1,0.0004497172755483906,pos_neg_null,move,1,1,10
15,15,0.0016721755736156896,pos_neg_null,move,1,1,10
15,8,0.0016061753542146704,pos_neg_null,move,1,1,10
15,7,0.0012339906206642046,pos_neg_null,move,1,1,10
15,11,0.0016721754946304606,pos_neg_null,move,1,1,10
15,4,0.0005678029349173879,pos_neg_null,move,1,1,10
15,6,0.0006600695012328484,pos_neg_null,move,1,1,10
15,14,0.0016721755736156896,pos_neg_null,move,1,1,10
15,13,0.0016721755736155233,pos_neg_null,move,1,1,10
15,3,0.0005276427932253357,pos_neg_null,move,1,1,10
15,12,0.0016721755735372775,pos_neg_null,move,1,1,10
15,2,0.00048850826500759,pos_neg_null,move,1,1,10
15,5,0.0006065159180890612,pos_neg_null,move,1,1,10
