value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
3,1,0.018901519139164286,pos_neg_null,kid,1,1,10
3,3,0.005683402994426348,pos_neg_null,kid,1,1,10
3,2,0.04502618194010102,pos_neg_null,kid,1,1,10
2,2,0.000004272327925099758,pos_neg_null,kid,1,1,10
2,1,0.01700074176164684,pos_neg_null,kid,1,1,10
4,4,0.04994141130872887,pos_neg_null,kid,1,1,10
4,3,0.048869965550345666,pos_neg_null,kid,1,1,10
4,2,0.03293295381127939,pos_neg_null,kid,1,1,10
4,1,0.013824908752005859,pos_neg_null,kid,1,1,10
1,1,2.2445538909115578e-10,pos_neg_null,kid,1,1,10
5,5,0.02984377077317381,pos_neg_null,kid,1,1,10
5,4,0.029806453638023783,pos_neg_null,kid,1,1,10
5,3,0.028378801515145213,pos_neg_null,kid,1,1,10
5,2,0.019124174715345842,pos_neg_null,kid,1,1,10
5,1,0.008028128054111001,pos_neg_null,kid,1,1,10
6,6,0.02273918501005287,pos_neg_null,kid,1,1,10
6,5,0.0227385110013071,pos_neg_null,kid,1,1,10
6,4,0.022705504388965157,pos_neg_null,kid,1,1,10
6,3,0.02161796938947825,pos_neg_null,kid,1,1,10
6,2,0.014568121327278144,pos_neg_null,kid,1,1,10
6,1,0.0061155446059257285,pos_neg_null,kid,1,1,10
7,7,0.016374062362510267,pos_neg_null,kid,1,1,10
7,6,0.016374037697809225,pos_neg_null,kid,1,1,10
7,5,0.016373483790516515,pos_neg_null,kid,1,1,10
7,4,0.016349716480857163,pos_neg_null,kid,1,1,10
7,3,0.015566607301689947,pos_neg_null,kid,1,1,10
7,2,0.010490172307094115,pos_neg_null,kid,1,1,10
7,1,0.004403664359093228,pos_neg_null,kid,1,1,10
8,8,0.00842847316762756,pos_neg_null,kid,1,1,10
8,7,0.00842847262982211,pos_neg_null,kid,1,1,10
8,6,0.008428459083054595,pos_neg_null,kid,1,1,10
8,5,0.008428173961874433,pos_neg_null,kid,1,1,10
8,4,0.008415939850736107,pos_neg_null,kid,1,1,10
8,3,0.008012838074864512,pos_neg_null,kid,1,1,10
8,2,0.0053997669784505925,pos_neg_null,kid,1,1,10
8,1,0.0022667655682195717,pos_neg_null,kid,1,1,10
9,1,0.0019125834481852695,pos_neg_null,kid,1,1,10
9,6,0.0071115123513273365,pos_neg_null,kid,1,1,10
9,2,0.004556053388067689,pos_neg_null,kid,1,1,10
9,9,0.007111524275795862,pos_neg_null,kid,1,1,10
9,8,0.007111524259019137,pos_neg_null,kid,1,1,10
9,7,0.007111523781412422,pos_neg_null,kid,1,1,10
9,5,0.007111271780331576,pos_neg_null,kid,1,1,10
9,4,0.007100949249058614,pos_neg_null,kid,1,1,10
9,3,0.006760832125666954,pos_neg_null,kid,1,1,10
14,8,0.0057945753221637425,pos_neg_null,kid,1,1,10
14,4,0.005785958647381093,pos_neg_null,kid,1,1,10
14,14,0.005794575339910141,pos_neg_null,kid,1,1,10
14,13,0.005794575339909545,pos_neg_null,kid,1,1,10
14,12,0.005794575339903605,pos_neg_null,kid,1,1,10
14,11,0.005794575339865767,pos_neg_null,kid,1,1,10
14,10,0.0057945753396679575,pos_neg_null,kid,1,1,10
14,9,0.005794575337735207,pos_neg_null,kid,1,1,10
14,7,0.005794574933002715,pos_neg_null,kid,1,1,10
14,6,0.005794565619600053,pos_neg_null,kid,1,1,10
14,5,0.005794369598788693,pos_neg_null,kid,1,1,10
14,3,0.005508826176469371,pos_neg_null,kid,1,1,10
14,2,0.003712339797684785,pos_neg_null,kid,1,1,10
14,1,0.0015584013281509607,pos_neg_null,kid,1,1,10
13,6,0.005399481600081872,pos_neg_null,kid,1,1,10
13,13,0.0053994906576427006,pos_neg_null,kid,1,1,10
13,12,0.005399490657637455,pos_neg_null,kid,1,1,10
13,10,0.0053994906574178735,pos_neg_null,kid,1,1,10
13,9,0.005399490655616902,pos_neg_null,kid,1,1,10
13,5,0.005399298944325831,pos_neg_null,kid,1,1,10
13,4,0.005391461466877841,pos_neg_null,kid,1,1,10
13,3,0.005133224391710099,pos_neg_null,kid,1,1,10
13,11,0.0053994906576021965,pos_neg_null,kid,1,1,10
13,1,0.0014521466921406689,pos_neg_null,kid,1,1,10
13,2,0.0034592257205699156,pos_neg_null,kid,1,1,10
13,8,0.005399490641107127,pos_neg_null,kid,1,1,10
13,7,0.005399490278479812,pos_neg_null,kid,1,1,10
15,10,0.0047410161870010585,pos_neg_null,kid,1,1,10
15,11,0.004741016187162903,pos_neg_null,kid,1,1,10
15,15,0.004741016187199222,pos_neg_null,kid,1,1,10
15,9,0.004741016185419718,pos_neg_null,kid,1,1,10
15,14,0.004741016187199213,pos_neg_null,kid,1,1,10
15,3,0.004507221417111305,pos_neg_null,kid,1,1,10
15,12,0.004741016187193861,pos_neg_null,kid,1,1,10
15,13,0.004741016187198721,pos_neg_null,kid,1,1,10
15,2,0.0030373689253784617,pos_neg_null,kid,1,1,10
15,8,0.004741016172679428,pos_neg_null,kid,1,1,10
15,1,0.0012750556321235139,pos_neg_null,kid,1,1,10
15,7,0.004741015854274956,pos_neg_null,kid,1,1,10
15,6,0.004741008234218228,pos_neg_null,kid,1,1,10
15,4,0.004733966166039078,pos_neg_null,kid,1,1,10
15,5,0.004740847853554387,pos_neg_null,kid,1,1,10
